epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7523.25,0.7937,0.59476,1.11853,0.90038,0.8891,0.90763,0.76764,0.92007,0.74185,1.12078,0.000618312,0.000618312,0.000618312
43,7701.58,0.78418,0.58609,1.11573,0.88558,0.87949,0.89405,0.75771,0.91614,0.73425,1.1336,0.0005891,0.0005891,0.0005891
44,7879.6,0.77668,0.57922,1.10972,0.89543,0.88949,0.91313,0.77199,0.92931,0.74277,1.13793,0.00056012,0.00056012,0.00056012
45,8058.45,0.76764,0.57331,1.10449,0.88969,0.89419,0.90547,0.77362,0.8919,0.70631,1.13579,0.000531423,0.000531423,0.000531423
46,8237.43,0.76142,0.55479,1.10616,0.9148,0.87905,0.90949,0.77022,0.92324,0.70116,1.14162,0.00050306,0.00050306,0.00050306
47,8415.7,0.77246,0.56343,1.10849,0.88835,0.86571,0.88959,0.75474,0.95639,0.79676,1.14672,0.000475081,0.000475081,0.000475081
48,8594.08,0.75595,0.55784,1.09614,0.88064,0.87652,0.89438,0.75554,0.9292,0.77697,1.1309,0.000447534,0.000447534,0.000447534
49,8772.87,0.75388,0.53702,1.09365,0.88712,0.87127,0.89281,0.76606,0.91547,0.75101,1.12571,0.000420468,0.000420468,0.000420468
50,8951.63,0.74699,0.53486,1.08856,0.88656,0.87877,0.89662,0.76526,0.89961,0.72252,1.11725,0.00039393,0.00039393,0.00039393
51,9130.53,0.73467,0.53715,1.08273,0.90396,0.87785,0.90771,0.77466,0.86694,0.71759,1.11244,0.000367967,0.000367967,0.000367967
52,9308.94,0.72279,0.52568,1.0704,0.91033,0.85502,0.90171,0.77708,0.85813,0.71117,1.09675,0.000342625,0.000342625,0.000342625
53,9487.81,0.72173,0.52189,1.07947,0.88872,0.8777,0.89059,0.76289,0.89223,0.69416,1.11703,0.000317948,0.000317948,0.000317948
54,9666.34,0.72166,0.52371,1.07295,0.89224,0.85142,0.88834,0.76283,0.92027,0.84578,1.13953,0.000293979,0.000293979,0.000293979
55,9844.66,0.71132,0.50782,1.07397,0.90054,0.86464,0.89298,0.76305,0.91595,0.70297,1.12207,0.00027076,0.00027076,0.00027076
56,10022.9,0.69677,0.49803,1.06052,0.90419,0.85021,0.89302,0.76408,0.89257,0.75726,1.12283,0.000248332,0.000248332,0.000248332
57,10201.5,0.69127,0.48928,1.0567,0.91043,0.88662,0.90657,0.77874,0.87452,0.66347,1.10362,0.000226735,0.000226735,0.000226735
58,10380.4,0.69038,0.49344,1.05834,0.90678,0.87513,0.90096,0.78128,0.85677,0.70871,1.09965,0.000206005,0.000206005,0.000206005
59,10558.9,0.69241,0.50087,1.0626,0.90966,0.86102,0.89458,0.76892,0.91476,0.73963,1.11978,0.000186181,0.000186181,0.000186181
60,10737.2,0.69347,0.50254,1.06102,0.88973,0.88704,0.90208,0.7776,0.87198,0.70702,1.10914,0.000167296,0.000167296,0.000167296
61,10916.3,0.66918,0.48044,1.04435,0.90557,0.85763,0.89452,0.77174,0.89113,0.74822,1.11748,0.000149383,0.000149383,0.000149383
62,11095.2,0.68233,0.48346,1.05215,0.90604,0.87198,0.90141,0.7798,0.87012,0.69477,1.09931,0.000132474,0.000132474,0.000132474
63,11273.5,0.66772,0.47739,1.04446,0.88799,0.86736,0.88995,0.76849,0.88996,0.76335,1.11121,0.000116599,0.000116599,0.000116599
64,11451.7,0.66835,0.47052,1.04551,0.89866,0.86169,0.8986,0.77256,0.89009,0.71471,1.11311,0.000101785,0.000101785,0.000101785
65,11630.2,0.66104,0.47424,1.04082,0.90341,0.87868,0.89794,0.77452,0.87159,0.6891,1.1119,8.80588e-05,8.80588e-05,8.80588e-05
66,11816,0.58914,0.39535,1.00395,0.8833,0.84926,0.87954,0.75676,0.92375,0.80417,1.14117,7.54441e-05,7.54441e-05,7.54441e-05
67,11993.3,0.59091,0.4003,1.00416,0.8815,0.85767,0.88456,0.76329,0.90445,0.78977,1.13768,6.3963e-05,6.3963e-05,6.3963e-05
68,12170.3,0.58842,0.40021,1.00366,0.90557,0.87719,0.90136,0.77749,0.87692,0.68386,1.10799,5.36357e-05,5.36357e-05,5.36357e-05
69,12347.4,0.5885,0.38941,1.00691,0.91052,0.86475,0.89587,0.77151,0.87827,0.72213,1.11714,4.44803e-05,4.44803e-05,4.44803e-05
70,12524,0.58503,0.39467,1.00207,0.90275,0.86516,0.89409,0.76837,0.89872,0.74064,1.13338,3.65129e-05,3.65129e-05,3.65129e-05
71,12700.5,0.58062,0.39206,0.99754,0.90998,0.86551,0.89894,0.77278,0.892,0.70872,1.12488,2.97474e-05,2.97474e-05,2.97474e-05
72,12877.2,0.56957,0.37671,0.99515,0.90844,0.86244,0.89719,0.77376,0.87618,0.71204,1.11473,2.41958e-05,2.41958e-05,2.41958e-05
73,13054.1,0.5826,0.38739,0.998,0.90907,0.86516,0.89715,0.7731,0.88583,0.72449,1.12426,1.98677e-05,1.98677e-05,1.98677e-05
74,13231.2,0.57395,0.38176,0.99518,0.91951,0.87089,0.90062,0.77528,0.882,0.70075,1.11489,1.67708e-05,1.67708e-05,1.67708e-05
75,13407.7,0.57544,0.38104,0.99822,0.91625,0.87345,0.90318,0.77792,0.87768,0.69089,1.11726,1.49105e-05,1.49105e-05,1.49105e-05
